_url,birth_year,weight,height,nationality
juan-martinez-oliver,1964.0,,,Spain
thomas-pidcock,1999.0,58.0,170.0,Great Britain
gerhard-trampusch,1978.0,60.0,173.0,Austria
alessandro-proni,1982.0,68.0,183.0,Italy
javier-aramendia,1986.0,72.0,187.0,Spain
maryan-hary,1980.0,68.0,185.0,France
jose-francisco,1971.0,,,Spain
alessandro-spezialetti,1975.0,67.0,179.0,Italy
ludovic-robeet,1994.0,75.0,194.0,Belgium
christian-poos,1977.0,,,Luxembourg
timofey-kritskiy,1987.0,81.0,190.0,Russia
john-baldi,1966.0,,,Italy
ad-wijnands,1959.0,,,Netherlands
yvan-haymoz,1975.0,,,Switzerland
antoine-demoitie,1990.0,69.0,180.0,Belgium
franco-vona,1964.0,,,Italy
pieter-mertens,1980.0,67.0,181.0,Belgium
asier-guenetxea,1970.0,,,Spain
milan-menten,1996.0,68.0,174.0,Belgium
laurence-pithie,2002.0,74.0,185.0,New Zealand
eric-de-clercq,1967.0,,,Belgium
mart-ojavee,1981.0,80.0,183.0,Estonia
giovanni-paolo-bottoia,1962.0,,,Italy
thomas-durst,1967.0,,,Germany
rene-koppert,1960.0,,,Netherlands
baden-cooke,1978.0,75.0,180.0,Australia
jose-luis-navarro,1962.0,,,Spain
maxim-belkov,1985.0,71.0,184.0,Russia
pedro-jimenez-villanueva,1974.0,,,Spain
angel-gomez-gomez,1981.0,68.0,183.0,Spain
andrea-peron-1,1971.0,70.0,183.0,Italy
jonas-rickaert,1994.0,88.0,187.0,Belgium
eric-baumann,1980.0,72.0,177.0,Germany
kevin-geniets,1997.0,73.0,193.0,Luxembourg
juan-carlos-martin,1967.0,,,Spain
eddy-beugels,1944.0,,,Netherlands
jacques-van-meer,1958.0,,,Netherlands
matthew-stephens,1970.0,64.0,182.0,Great Britain
loe-van-belle,2002.0,,184.0,Netherlands
leonardo-scarselli,1975.0,67.0,180.0,Italy
maxime-mederel,1980.0,59.0,173.0,France
lukas-ruegg,1996.0,66.0,177.0,Switzerland
javier-etxarri-marin,1986.0,,,Spain
serge-vandaele,1952.0,,,Belgium
jasper-de-buyst,1993.0,72.0,179.0,Belgium
regis-ovion,1949.0,64.0,177.0,France
ethan-hayter,1998.0,69.0,180.0,Great Britain
sander-armee,1985.0,72.0,190.0,Belgium
james-whelan,1996.0,64.0,185.0,Australia
stefan-van-leeuwe,1963.0,,,Belgium
angelo-pagani,1988.0,68.0,176.0,Italy
marco-chagas,1956.0,,,Portugal
luis-casas,1953.0,,,Spain
fernando-serrano-sanchez,1979.0,,,Spain
lars-wahlqvist,1964.0,,,Sweden
nathan-earle,1988.0,70.0,180.0,Australia
claudio-bartoli,1979.0,,,Italy
gianluigi-barsotelli,1965.0,,,Italy
bruno-zanoni,1952.0,,,Italy
tom-stamsnijder,1985.0,76.0,191.0,Netherlands
victor-hugo-pena,1974.0,65.0,178.0,Colombia
jaime-alberto-castaneda,1986.0,,,Colombia
hector-guerra-garcia,1978.0,,,Spain
mario-beccia,1955.0,,,Italy
jan-valach,1973.0,75.0,194.0,Slovakia
adam-roberge,1997.0,72.0,194.0,Canada
humberto-contreras,1972.0,,,Colombia
asiat-saitov,1965.0,,,Russia
antonio-angulo,1992.0,67.0,175.0,Spain
justin-jules,1986.0,64.0,167.0,France
jan-polanc,1992.0,62.0,172.0,Slovenia
ciaran-power,1976.0,68.0,184.0,Ireland
jenthe-biermans,1995.0,78.0,184.0,Belgium
viktor-rjaksinski,1967.0,,,Ukraine
etienne-de-beule,1953.0,,,Belgium
hans-kanel2,1953.0,,,Switzerland
roberto-lozano,1977.0,,,Spain
sergey-klimov,1980.0,69.0,183.0,Russia
daniel-rossel,1960.0,,,Belgium
javier-murguialday,1962.0,58.0,164.0,Spain
wilson-alexander-marentes,1985.0,,,Colombia
rik-van-looy,1933.0,73.0,178.0,Belgium
jean-patrick-nazon,1977.0,74.0,182.0,France
marek-canecky,1988.0,72.0,187.0,Slovakia
stefan-kung,1993.0,83.0,193.0,Switzerland
mathew-hayman,1978.0,78.0,190.0,Australia
negasi-abreha,2000.0,,186.0,Ethiopia
robin-chaigneau,1988.0,80.0,185.0,Netherlands
jean-jacques-henry,1967.0,,,France
davide-baldaccini,1998.0,,176.0,Italy
laudelino-cubino,1963.0,,,Spain
joel-suter,1998.0,75.0,190.0,Switzerland
arnoud-van-groen,1983.0,69.0,183.0,Netherlands
youri-perunovski,1963.0,,,Russia
cesar-perez-padron,1973.0,,,Spain
laurent-pillon,1964.0,,,France
kurt-steinmann,1962.0,,,Switzerland
damiano-caruso,1987.0,67.0,179.0,Italy
eric-jacques,1953.0,,,Belgium
lubos-lom,1965.0,,,Czech Republic
anthony-jullien,1998.0,72.0,178.0,France
johan-museeuw,1965.0,71.0,184.0,Belgium
massimo-donati,1967.0,75.0,186.0,Italy
eduardo-hernandez,1973.0,,,Spain
matthew-white,1974.0,72.0,181.0,Australia
luca-colnaghi,1999.0,63.0,171.0,Italy
anton-chantyr,1974.0,,,Russia
johnnie-walker,1987.0,63.0,178.0,Australia
elie-gesbert,1995.0,63.0,181.0,France
jerome-neuville,1975.0,85.0,192.0,France
eddy-merckx,1945.0,74.0,182.0,Belgium
manuele-boaro,1987.0,64.0,173.0,Italy
jose-luis-de-santos-arribas,1968.0,,,Spain
tobias-steinhauser,1972.0,72.0,188.0,Germany
joaquim-galera,1940.0,,,Spain
ruben-apers,1998.0,70.0,179.0,Belgium
yuriy-krivtsov,1979.0,72.0,178.0,Ukraine
peter-luttenberger,1972.0,60.0,173.0,Austria
juan-martin-zapatero-marcos,1964.0,,,Spain
stanislaw-aniolkowski,1997.0,68.0,181.0,Poland
rolf-haller,1957.0,,,Germany
carlos-muniz,1964.0,,,Spain
marco-tizza,1992.0,58.0,173.0,Italy
sam-bewley,1987.0,81.0,191.0,New Zealand
pier-andre-cote,1997.0,,181.0,Canada
angel-de-las-heras,1957.0,,,Spain
andre-massard,1957.0,,,Switzerland
fabien-patanchon,1983.0,69.0,179.0,France
devis-miorin,1976.0,,,Italy
enrique-alberto-aja,1960.0,,,Spain
adelino-teixeira,1954.0,,,Portugal
thierry-bourguignon,1962.0,72.0,185.0,France
giovanni-battaglin,1951.0,,,Italy
mark-mcnally,1989.0,72.0,186.0,Great Britain
victor-koretzky,1994.0,69.0,180.0,France
franco-mori,1944.0,,,Italy
alain-cigana,1950.0,,,France
matus-stocek,1999.0,80.0,190.0,Slovakia
oliverio-rincon-quintana,1968.0,,,Colombia
frank-pineau,1963.0,,,France
thibault-ferasse,1994.0,61.0,168.0,France
jean-marie-vernie,1960.0,,,Belgium
ben-tulett,2001.0,56.0,169.0,Great Britain
johann-lienhart,1960.0,66.0,173.0,Austria
theo-mertens,1941.0,,,Belgium
gerald-oberson,1954.0,,,Switzerland
martin-pedersen,1983.0,62.0,170.0,Denmark
innar-mandoja,1978.0,69.0,175.0,Estonia
matteo-spreafico,1993.0,69.0,184.0,Italy
fernando-torres,1978.0,,,Spain
cesare-cipollini,1958.0,,,Italy
warren-barguil,1991.0,61.0,183.0,France
john-dekeukelaere,1962.0,,,Belgium
unai-cuadrado,1997.0,,,Spain
gines-garcia-pallares,1959.0,,,Spain
valere-thiebaud,1999.0,,184.0,Switzerland
andrei-kunitski,1984.0,72.0,176.0,Belarus
jose-manuel-uria,1969.0,,,Spain
renzo-ragnetti,1973.0,,,Italy
brecht-dhaene,1988.0,73.0,192.0,Belgium
timon-seubert,1987.0,73.0,183.0,Germany
ricardo-vilela,1987.0,59.0,170.0,Portugal
peter-stevenhaagen,1965.0,,,Netherlands
marc-sergeant,1959.0,76.0,187.0,Belgium
marc-vercammen,1960.0,,,Belgium
pol-verschuere,1955.0,,,Belgium
alexey-tsatevich,1989.0,64.0,169.0,Russia
louis-bendixen,1995.0,,190.0,Denmark
luis-edgar-espinosa-sepulveda,1967.0,,,Colombia
thomas-frei,1985.0,71.0,178.0,Switzerland
felix-odebrecht,1984.0,,,Germany
aidis-kruopis,1986.0,80.0,184.0,Lithuania
danny-janssens,1963.0,,,Belgium
